"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"2WDB3ZX7","journalArticle","2023","Arias-Arévalo, P.; Lazos-Chavero, E.; Monroy-Sais, A.S.; Nelson, S.H.; Pawlowska-Mainville, A.; Vatn, A.; Pascual, U.","The role of power in leveraging the diverse values of nature for transformative change","Current Opinion in Environmental Sustainability","","","10.1016/j.cosust.2023.101352","","","2023","2023-10-06 06:17:39","2023-10-06 06:17:41","","101352","","","64","","","","","","","","","","en","","","","","","","Citation Key: arias-ar2023a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P3HSMURL","bookSection","2022","Behnassi, M.; Gupta, H.","Managing the food security, biodiversity, and climate nexus: Transformative change as a pathway","The food security, biodiversity, and climate nexus","","","","","","2022","2023-10-06 06:17:40","2023-10-06 06:17:40","","15–34","","","","","","","","","","","Springer International Publishing","Cham","en","","","","","","","Citation Key: behnassi2022a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XRPUU9RN","journalArticle","2018","Bell, A.R.; Benton, T.G.; Droppelmann, K.; Mapemba, L.; Pierson, O.; Ward, P.S.","Transformative change through Payments for Ecosystem Services (PES): a conceptual framework and application to conservation agriculture in Malawi","Global Sustainability","","","10.1017/sus.2018.4","","","2018","2023-10-06 06:17:40","2023-10-06 06:17:42","","4","","","1","","","","","","","","","","en","","","","","","","Citation Key: bell2018a","","/Users/rainerkrug/Zotero TfC Ch 2/storage/UM6MJXAE/Bell et al. - 2018 - Transformative change through Payments for Ecosyst.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P5MFI4JF","document","2020","Bolam, F.C.; Ahumada, J.; Akçakaya, H.R.; Brooks, T.M.; Elliott, W.; Hoban, S.; Butchart, S.H.","Preventing extinctions post-2020 requires recovery actions and transformative change","","","","","","","2020","2023-10-06 06:17:40","2023-10-06 06:17:40","","","","","","","","","","","","","","","en","","","","","","","Citation Key: bolam2020a Place: BioRxiv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ULWDXGNC","journalArticle","2023","Bremer, L.L.; Nelson, S.; Jackson, S.; Izquierdo-Tort, S.; Lansing, D.; Shapiro-Garza, E.; Pascual, U.","Embedding local values in Payments for Ecosystem Services for transformative change","Current Opinion in Environmental Sustainability","","","10.1016/j.cosust.2023.101354","","","2023","2023-10-06 06:17:40","2023-10-06 06:17:41","","101354","","","64","","","","","","","","","","en","","","","","","","Citation Key: bremer2023a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YTJKCSS8","journalArticle","2020","Bulkeley, H.; Kok, M.; Dijk, J.J.; Forsyth, T.; Nagy, G.; Villasante, S.","Moving towards transformative change for biodiversity: Harnessing the potential of the post-2020 global biodiversity framework","An EKLIPSE Expert Working Group report. UK Centre for Ecology & Hydrology","","","","","","2020","2023-10-06 06:17:40","2023-10-06 06:25:20","","","","","","","","","","","","","","","en","","","","","","","Citation Key: bulkeley2020a","","/Users/rainerkrug/Zotero TfC Ch 2/storage/D5DDMIAT/Bulkeley et al. - 2020 - Moving towards transformative change for biodivers.pdf","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"576ZD54V","journalArticle","2021","Buxton, R.T.; Bennett, J.R.; Reid, A.J.; Shulman, C.; Cooke, S.J.; Francis, C.M.; Smith, P.A.","Key information needs to move from knowledge to action for biodiversity conservation in Canada","Biological Conservation","","","10.1016/j.biocon.2021.108983","","","2021","2023-10-06 06:17:40","2023-10-06 06:17:42","","108983","","","256","","","","","","","","","","en","","","","","","","Citation Key: buxton2021a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3FDE5V3A","journalArticle","2021","Christmann, S.; Bencharki, Y.; Anougmar, S.; Rasmont, P.; Smaili, M.C.; Tsivelikas, A.; Aw-Hassan, A.","Farming with Alternative Pollinators benefits pollinators, natural enemies, and yields, and offers transformative change to agriculture","Scientific Reports","","","10.1038/s41598-021-97695-5","","","2021","2023-10-06 06:17:40","2023-10-06 06:18:06","","18206","","1","11","","","","","","","","","","en","","","","","","","Citation Key: christmann2021a","","/Users/rainerkrug/Zotero TfC Ch 2/storage/TWPXHGA6/Christmann et al. - 2021 - Farming with Alternative Pollinators benefits poll.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K37R9AAJ","journalArticle","2023","Koning, S.; Boezeman, D.; Kaufmann, M.; Visseren-Hamakers, I.J.","Transformative change for biodiversity: A review on the contribution of landscape-oriented partnerships","Biological Conservation","","","10.1016/j.biocon.2022.109858","","","2023","2023-10-06 06:17:40","2023-10-06 06:17:42","","109858","","","277","","","","","","","","","","en","","","","","","","Citation Key: koning2023a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GBVF4AMN","journalArticle","2023","Dupuis, L.; Leandre, C.; Langridge, J.; Delavaud, A.; Jactel, H.; Soubelet, H.","Analyzing the capacity to initiate transformative change: a methodology for assessing biodiversity strategies","Biodiversity and Conservation","","","10.1007/s10531-023-02660-5","","","2023","2023-10-06 06:17:40","2023-10-06 06:17:42","","3641–3660","","11","32","","","","","","","","","","en","","","","","","","Citation Key: dupuis2023a","","/Users/rainerkrug/Zotero TfC Ch 2/storage/8EJB4TQ2/Dupuis et al. - 2023 - Analyzing the capacity to initiate transformative .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HJA7AI6E","document","2011","Ernstson, H.","Transformative collective action: a network approach to transformative change in ecosystem-based management. Social networks and natural resource management: Uncovering the social fabric of environmental governance","","","","","","","2011","2023-10-06 06:17:40","2023-10-06 06:17:40","","","","","","","","","","","","","","","en","","","","","","","Citation Key: ernstson2011a Pages: 255–287","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
