"","Civil society organizations","Donor/foundations","Education sector","Environmental movements/activists","Financial sector","Indigenous people","Individual citizens","Intergovernmental organizations","Justice system","Local communities","Local/regional government","Media and communication","National government","NGO","Private sector","Scientific community"
"Civil society organizations",10854,1066,2364,109,699,153,3384,102,236,1396,406,1237,2330,76,1406,3220
"Donor/foundations",1066,189599,60419,1242,1656,2316,63599,2115,6851,15686,11359,31700,39603,2028,26142,83219
"Education sector",2364,60419,518581,2151,3166,5604,172101,3532,17652,38447,20072,86857,88466,1770,64875,259988
"Environmental movements/activists",109,1242,2151,7472,100,296,3098,241,447,1150,469,1715,3017,406,1701,2837
"Financial sector",699,1656,3166,100,12870,119,3260,281,350,1554,425,1229,3226,158,2124,4638
"Indigenous people",153,2316,5604,296,119,19462,6378,358,832,3642,844,3691,6239,169,2324,7508
"Individual citizens",3384,63599,172101,3098,3260,6378,778388,5001,21095,53873,23423,103043,117385,2603,98016,222913
"Intergovernmental organizations",102,2115,3532,241,281,358,5001,24194,320,2024,1413,2553,4498,457,1957,6010
"Justice system",236,6851,17652,447,350,832,21095,320,52246,5024,1739,11618,42105,213,9017,23175
"Local communities",1396,15686,38447,1150,1554,3642,53873,2024,5024,186155,8154,25172,38685,875,26570,53608
"Local/regional government",406,11359,20072,469,425,844,23423,1413,1739,8154,73262,6446,33689,1261,9358,26044
"Media and communication",1237,31700,86857,1715,1229,3691,103043,2553,11618,25172,6446,273668,58188,1011,46954,122044
"National government",2330,39603,88466,3017,3226,6239,117385,4498,42105,38685,33689,58188,383372,2730,64741,120074
"NGO",76,2028,1770,406,158,169,2603,457,213,875,1261,1011,2730,7905,1076,3427
"Private sector",1406,26142,64875,1701,2124,2324,98016,1957,9017,26570,9358,46954,64741,1076,308534,95781
"Scientific community",3220,83219,259988,2837,4638,7508,222913,6010,23175,53608,26044,122044,120074,3427,95781,629625
