"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"TJ2SZLE6","journalArticle","2017","Abson, David J.; Fischer, Joern; Leventon, Julia; Newig, Jens; Schomerus, Thomas; Vilsmaier, Ulli; Wehrden, Henrik","Leverage points for sustainability transformation","Ambio","","","10.1007/s13280-016-0800-y","https://doi.org/10.1007/s13280-016-0800-y.","","2017-02","2023-10-03 14:08:54","2023-10-03 14:08:57","","30–39","","1","46","","","","","","","","","","en","","","","","","","Citation Key: abson2017a","","/Users/rainerkrug/Zotero TfC Ch 2/storage/GNVTE7VY/Abson et al_2017_Leverage points for sustainability transformation.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8I8FXF4R","journalArticle","2023","Beery, Thomas; Olafsson, Anton Stahl; Gentin, Sandra; Maurer, Megan; Stålhammar, Sanna; Albert, Christian; Bieling, Claudia","Disconnection from nature: Expanding our understanding of Human–Nature relations","People and Nature","","","10.1002/pan3.10451","https://doi.org/10.1002/pan3.10451.","","2023","2023-10-03 14:08:55","2023-10-03 14:08:57","","470–88","","2","5","","","","","","","","","","en","","","","","","","Citation Key: beery2023a","","/Users/rainerkrug/Zotero TfC Ch 2/storage/YSKUUQCV/Beery et al_2023_Disconnection from nature.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9V6M9NM9","journalArticle","2022","Bentz, J.; O’Brien, K.; Scoville-Simonds, M.; Cousins, J.J.","Beyond “blah blah blah”: exploring the “how” of transformation","Sustain. Sci","","","10.1016/j.ecolecon.2020.106874","","","2022","2023-10-03 14:08:55","2023-10-03 14:08:55","","497–506","","","17","","","","","","","","","","en","","","","","","","Citation Key: bentz2022a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LX34EQZL","journalArticle","2018","Forsyth, T.","Is resilience to climate change socially inclusive? Investigating theories of change processes in Myanmar","World Development","","","10.1016/j.worlddev.2018.06.023","","","2018","2023-10-03 14:08:55","2023-10-03 14:08:59","","13–26","","","11","","","","","","","","","","en","","","","","","","Citation Key: forsyth2018a","","/Users/rainerkrug/Zotero TfC Ch 2/storage/7RYSUMDD/Forsyth_2018_Is resilience to climate change socially inclusive.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8P4J3ULM","document","2021","Jordan, Thomas","Inner Development Goals Report","","","","","","","2021","2023-10-03 14:08:55","2023-10-03 14:08:55","","","","","","","","","","","","","","","nl","","","","","","","Citation Key: jordan2021a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9JWZL49C","journalArticle","2007","Koskela, E.; Ollikainen, M.; Pukkala, T.","Biodiversity policies in commercial boreal forests: optimal design of subsidy and tax combinations","Forest Policy and Economics","","","10.1016/j.forpol.2006.09.003","","","2007","2023-10-03 14:08:55","2023-10-03 14:08:59","","982–995","","8","9","","","","","","","","","","en","","","","","","","Citation Key: koskela2007a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DAP7EMPL","journalArticle","2022","Mabaya, E.; Porciello, J.","Can digital solutions transform agri-food systems in Africa?","Agrekon","","","10.1080/03031853.2022.2032223","","","2022","2023-10-03 14:08:55","2023-10-03 14:08:55","","67–79","","1","61","","","","","","","","","","en","","","","","","","Citation Key: mabaya2022a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U56NJYAV","journalArticle","2023","Müller, Susanne; Artmann, Martina; Surrey, Caroline","Opening the human spirit to sustainability transformation: The potential for individual Human–Nature resonance and integrative rituals","Sustainability Science","","","10.1007/s11625-023-01360-x","https://doi.org/10.1007/s11625-023-01360-x.","","2023-07-03","2023-10-03 14:08:55","2023-10-03 14:08:58","","","","","","","","","","","","","","","en","","","","","","","Citation Key: mueller2023a","","/Users/rainerkrug/Zotero TfC Ch 2/storage/33RRJ9D6/Müller et al_2023_Opening the human spirit to sustainability transformation.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L8INBN3K","journalArticle","2020","Nightingale, A.J.; Eriksen, S.; Taylor, M.; Forsyth, T.; Pelling, M.; Newsham, A.; Boyd, E.; Brown, K.; Harvey, B.; Jones, L.; Kerr, R.Bezner; Mehta, L.; Naess, L.O.; Ockwell, D.; Scoones, I.; Tanner, T.; Whitfield, S.","Beyond Technical Fixes: climate solutions and the great derangement","Climate and Development","","","10.1080/17565529.2019.1624495","","","2020","2023-10-03 14:08:55","2023-10-03 14:08:59","","343–352","","4","12","","","","","","","","","","en","","","","","","","Citation Key: nightingale2020a","","/Users/rainerkrug/Zotero TfC Ch 2/storage/UR4GQ3TI/Nightingale et al_2020_Beyond Technical Fixes.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DLS5WNJX","journalArticle","2021","Rossing, W.A.H.; Albicette, M.M.; Aguerre, V.; Leoni, C.; Ruggia, A.; Dogliotti, S.","Crafting actionable knowledge on ecological intensification: Lessons from co-innovation approaches in Uruguay and Europe","Agricultural Systems","","","10.1016/j.agsy.2021.103103","","","2021","2023-10-03 14:08:55","2023-10-03 14:08:55","","","","103103","190","","","","","","","","","","en","","","","","","","Citation Key: rossing2021a","","/Users/rainerkrug/Zotero TfC Ch 2/storage/QPN35G8X/Rossing et al_2021_Crafting actionable knowledge on ecological intensification.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
