id,display_name,sector
1100,General Agricultural and Biological Sciences,Agriculture
1102,Agronomy and Crop Science,Agriculture
1103,Animal Science and Zoology,Agriculture
1106,Food Science,Agriculture
3404,Small Animals,Agriculture
1111,Soil Science,Agriculture
1104,Aquatic Science,Fisheries/aquaculture
1910,Oceanography,Fisheries/aquaculture
2212,Ocean Engineering,Fisheries/aquaculture
1107,Forestry,Forestry
1110,Plant Science,Forestry
1906,Geochemistry and Petrology,Fossil fuel
1907,Geology,Fossil fuel
1908,Geophysics,Fossil fuel
2200,General Engineering,Fossil fuel
2100,General Energy,Fossil fuel
2102,Energy Engineering and Power Technology,Fossil fuel
2103,Fuel Technology,Fossil fuel
2104,Nuclear Energy and Engineering,Fossil fuel
2105,"Renewable Energy, Sustainability and the Environment",Fossil fuel
1109,Insect Science,Mining
1303,Biochemistry,Mining
2304,Environmental Chemistry,Mining
1602,Analytical Chemistry,Mining
1603,Electrochemistry,Mining
1604,Inorganic Chemistry,Mining
1605,Organic Chemistry,Mining
1606,Physical and Theoretical Chemistry,Mining
1607,Spectroscopy,Mining
2505,Materials Chemistry,Mining
2506,Metals and Alloys,Mining
2507,Polymers and Plastics,Mining
2203,Automotive Engineering,Infrastructures (Irrigation and road infrastructure)
2205,Civil and Structural Engineering,Infrastructures (Irrigation and road infrastructure)
2207,Control and Systems Engineering,Infrastructures (Irrigation and road infrastructure)
2208,Electrical and Electronic Engineering,Infrastructures (Irrigation and road infrastructure)
2209,Industrial and Manufacturing Engineering,Infrastructures (Irrigation and road infrastructure)
2210,Mechanical Engineering,Infrastructures (Irrigation and road infrastructure)
2211,Mechanics of Materials,Infrastructures (Irrigation and road infrastructure)
2215,Building and Construction,Infrastructures (Irrigation and road infrastructure)
2216,Architecture,Infrastructures (Irrigation and road infrastructure)
3322,Urban Studies,Infrastructures (Irrigation and road infrastructure)
3313,Transportation,Infrastructures (Irrigation and road infrastructure)
2305,Environmental Engineering,Infrastructures (Irrigation and road infrastructure)
2312,Water Science and Technology,Infrastructures (Irrigation and road infrastructure)
3402,Equine,Earth/Nature/Biodiversity
2302,Ecological Modeling,Earth/Nature/Biodiversity
2303,Ecology,Earth/Nature/Biodiversity
1206,Conservation,Earth/Nature/Biodiversity
1309,Developmental Biology,Earth/Nature/Biodiversity
1305,Biotechnology,Earth/Nature/Biodiversity
1312,Molecular Biology,Earth/Nature/Biodiversity
1105,"Ecology, Evolution, Behavior and Systematics",Earth/Nature/Biodiversity
1315,Structural Biology,Earth/Nature/Biodiversity
1304,Biophysics,Earth/Nature/Biodiversity
1902,Atmospheric Science,Earth/Nature/Biodiversity
1904,Earth-Surface Processes,Earth/Nature/Biodiversity
1912,Space and Planetary Science,Earth/Nature/Biodiversity
1911,Paleontology,Earth/Nature/Biodiversity
2306,Global and Planetary Change,Earth/Nature/Biodiversity
2404,Microbiology,Earth/Nature/Biodiversity
2405,Parasitology,Earth/Nature/Biodiversity
2406,Virology,Earth/Nature/Biodiversity
2309,Nature and Landscape Conservation,Earth/Nature/Biodiversity
1502,Bioengineering,Earth/Nature/Biodiversity
2704,Biochemistry,Earth/Nature/Biodiversity
2402,Applied Microbiology and Biotechnology,Earth/Nature/Biodiversity
1702,Artificial Intelligence,Technology
1703,Computational Theory and Mathematics,Technology
1704,Computer Graphics and Computer-Aided Design,Technology
1705,Computer Networks and Communications,Technology
1706,Computer Science Applications,Technology
1707,Computer Vision and Pattern Recognition,Technology
1708,Hardware and Architecture,Technology
1709,Human-Computer Interaction,Technology
1710,Information Systems,Technology
1711,Signal Processing,Technology
1712,Software,Technology
