"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"CUZ92XV7","journalArticle","2021","Visseren-Hamakers, Ingrid J.; Razzaque, Jona; McElwee, Pamela; Turnhout, Esther; Kelemen, Eszter; Rusch, Graciela M; Fernández-Llamazares, Álvaro; Chan, Ivis; Lim, Michelle; Islar, Mine; Gautam, Ambika P; Williams, Meryl; Mungatana, Eric; Karim, Md Saiful; Muradian, Roldan; Gerber, Leah R.; Lui, Gabriel; Liu, Jinlong; Spangenberg, Joachim H.; Zaleski, Dara","Transformative governance of biodiversity: insights for sustainable development","Current Opinion in Environmental Sustainability","","18773435","10.1016/j.cosust.2021.06.002","https://linkinghub.elsevier.com/retrieve/pii/S1877343521000749","","2021-12","2023-10-03 13:34:00","2023-10-03 13:34:00","2023-10-03 13:34:00","20-28","","","53","","Current Opinion in Environmental Sustainability","Transformative governance of biodiversity","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/rainerkrug/Zotero TfC Ch 2/storage/LKXTKNG3/Visseren-Hamakers et al_2021_Transformative governance of biodiversity.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GHFCGIHG","journalArticle","2021","Turnhout, Esther; McElwee, Pamela; Chiroleu‐Assouline, Mireille; Clapp, Jennifer; Isenhour, Cindy; Kelemen, Eszter; Jackson, Tim; Miller, Daniel C.; Rusch, Graciela M.; Spangenberg, Joachim H.; Waldron, Anthony","Enabling transformative economic change in the post‐2020 biodiversity agenda","Conservation Letters","","1755-263X, 1755-263X","10.1111/conl.12805","https://conbio.onlinelibrary.wiley.com/doi/10.1111/conl.12805","Abstract             The COVID‐19 pandemic, its impact on the global economy, and current delays in the negotiation of the post‐2020 global biodiversity agenda of the Convention on Biological Diversity heighten the urgency to build back better for biodiversity, sustainability, and well‐being. In 2019, the Intergovernmental Science‐Policy Platform on Biodiversity and Ecosystem Services (IPBES) concluded that addressing biodiversity loss requires a transformative change of the global economic system. Drawing on the IPBES findings, this policy perspective discusses actions in four priority areas to inform the post‐2020 agenda: (1) Increasing funding for conservation; (2) redirecting incentives for sustainability; (3) creating an enabling regulatory environment; and (4) reforming metrics to assess biodiversity impacts and progress toward sustainable and just goals. As the COVID‐19 pandemic has made clear, and the negotiations for the post‐2020 agenda have emphasized, governments are indispensable in guiding economic systems and must take an active role in transformations, along with businesses and civil society. These key actors must work together to implement actions that combine short‐term impacts with structural change to shift economic systems away from a fixation with growth toward human and ecological well‐being. The four priority areas discussed here provide opportunities for the post‐2020 agenda to do so.","2021-07","2023-10-03 13:34:11","2023-10-03 13:34:11","2023-10-03 13:34:11","e12805","","4","14","","CONSERVATION LETTERS","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/rainerkrug/Zotero TfC Ch 2/storage/GWN6GLKS/Turnhout et al_2021_Enabling transformative economic change in the post‐2020 biodiversity agenda.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3CWX8PNV","journalArticle","2014","Sen, A.","Totally radical: From transformative research to transformative innovation","Science and Public Policy","","0302-3427, 1471-5430","10.1093/scipol/sct065","https://academic.oup.com/spp/article-lookup/doi/10.1093/scipol/sct065","","2014-06-01","2023-10-03 13:34:29","2023-10-03 13:34:29","2023-10-03 13:34:29","344-358","","3","41","","Science and Public Policy","Totally radical","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/rainerkrug/Zotero TfC Ch 2/storage/TBRKQY9B/Sen_2014_Totally radical.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8AFKRQW3","journalArticle","2018","Schuster, Richard; Law, Elizabeth A.; Rodewald, Amanda D.; Martin, Tara G.; Wilson, Kerrie A.; Watts, Matthew; Possingham, Hugh P.; Arcese, Peter","Tax Shifting and Incentives for Biodiversity Conservation on Private Lands","Conservation Letters","","1755-263X, 1755-263X","10.1111/conl.12377","https://conbio.onlinelibrary.wiley.com/doi/10.1111/conl.12377","Abstract             Conservation in human‐dominated landscapes is challenging partly due to the high costs of land acquisition. We explored a property tax mechanism to finance conservation easements or related contracts as a partial‐property acquisition strategy to meet Convention on Biological Diversity (CBD) treaty targets to conserve critically imperiled coastal Douglas fir ecosystems in Canada. To maximize cost‐efficiency, we used systematic planning tools to prioritize 198,058 parcels for biodiversity values, estimated the cost of eliminating property tax on high‐priority parcels to engage land owners in conservation, and then calculated the tax increase on nonpriority parcels necessary to maintain tax revenue. Marginal tax rate increases of 0.13, 0.21, and 0.51% on nonpriority parcels were necessary to offset the elimination of tax revenue on ∼21,000 ha of high‐priority parcels, and potentially sufficient to increase area protection from 9% to 17% to meet CBD targets given uptake rates of 100, 50, or 25%, respectively. Sensitivity analyses suggest uptake rates of 30% to 40% could allow government to achieve a 17% target with 30% of the planning area prioritized for inclusion in a property tax mechanism. Our results suggest prioritizing parcels for biodiversity value and commensurate “tax shifting” may offer an efficient route to conservation on private land.","2018-03","2023-10-03 13:34:46","2023-10-03 13:34:46","2023-10-03 13:34:46","e12377","","2","11","","CONSERVATION LETTERS","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/rainerkrug/Zotero TfC Ch 2/storage/9ZUXYSYC/Schuster et al_2018_Tax Shifting and Incentives for Biodiversity Conservation on Private Lands.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V3YHF3FN","journalArticle","2021","Sampson, Devon; Cely-Santos, Marcela; Gemmill-Herren, Barbara; Babin, Nicholas; Bernhart, Annelie; Bezner Kerr, Rachel; Blesh, Jennifer; Bowness, Evan; Feldman, Mackenzie; Gonçalves, André Luis; James, Dana; Kerssen, Tanya; Klassen, Susanna; Wezel, Alexander; Wittman, Hannah","Food Sovereignty and Rights-Based Approaches Strengthen Food Security and Nutrition Across the Globe: A Systematic Review","Frontiers in Sustainable Food Systems","","2571-581X","10.3389/fsufs.2021.686492","https://www.frontiersin.org/articles/10.3389/fsufs.2021.686492/full","This systematic review assembles evidence for rights-based approaches–the right to food and food sovereignty–for achieving food security and adequate nutrition (FSN). We evaluated peer-reviewed and gray literature produced between 1992 and 2018 that documents empirical relationships between the right to food or food sovereignty and FSN. We classified studies by literature type, study region, policy approach (food sovereignty or right to food) and impact (positive, negative, neutral, and reverse-positive) on FSN. To operationalize the concepts of food sovereignty and the right to food and connect them to the tangible interventions and practices observed in each reviewed study, we also classified studies according to 11 action types theorized to have an impact on FSN; these included “Addressing inequities in land access and confronting the process of land concentration” and “Promoting gender equity,” among others. We found strong evidence from across the globe indicating that food sovereignty and the right to food positively influence FSN outcomes. A small number of documented cases suggest that narrow rights-based policies or interventions are insufficient to overcome larger structural barriers to realizing FSN, such as inequitable land policy or discrimination based on race, gender or class.","2021-09-17","2023-10-03 13:36:05","2023-10-03 13:36:05","2023-10-03 13:36:05","686492","","","5","","Front. Sustain. Food Syst.","Food Sovereignty and Rights-Based Approaches Strengthen Food Security and Nutrition Across the Globe","","","","","","","","","","","","DOI.org (Crossref)","","","","/Users/rainerkrug/Zotero TfC Ch 2/storage/JR6BSNS9/Sampson et al_2021_Food Sovereignty and Rights-Based Approaches Strengthen Food Security and.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QZS4LL4A","journalArticle","2021","Rossing, Walter A.H.; Albicette, Maria Marta; Aguerre, Veronica; Leoni, Carolina; Ruggia, Andrea; Dogliotti, Santiago","Crafting actionable knowledge on ecological intensification: Lessons from co-innovation approaches in Uruguay and Europe","Agricultural Systems","","0308521X","10.1016/j.agsy.2021.103103","https://linkinghub.elsevier.com/retrieve/pii/S0308521X21000561","","2021-05","2023-10-03 13:36:37","2023-10-03 13:36:37","2023-10-03 13:36:37","103103","","","190","","Agricultural Systems","Crafting actionable knowledge on ecological intensification","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/rainerkrug/Zotero TfC Ch 2/storage/Y3X3E95B/Rossing et al_2021_Crafting actionable knowledge on ecological intensification.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D98VGU8V","journalArticle","2022","Pentland, Brian T.; Yoo, Youngjin; Recker, Jan; Kim, Inkyu","From Lock-In to Transformation: A Path-Centric Theory of Emerging Technology and Organizing","Organization Science","","1047-7039, 1526-5455","10.1287/orsc.2021.1543","https://pubsonline.informs.org/doi/10.1287/orsc.2021.1543","We offer a path-centric theory of emerging technology and organizing that addresses a basic question. When does emerging technology lead to transformative change? A path-centric perspective on technology focuses on the patterns of actions afforded by technology in use. We identify performing and patterning as self-reinforcing mechanisms that shape patterns of action in the domain of emerging technology and organizing. We use a dynamic simulation to show that performing and patterning can lead to a wide range of trajectories, from lock-in to transformation, depending on how emerging technology in use influences the pattern of action. When emerging technologies afford new actions that can be flexibly recombined to generate new paths, decisive transformative effects are more likely. By themselves, new affordances are not likely to generate transformation. We illustrate this theory with examples from the practice of pharmaceutical drug discovery. The path-centric perspective offers a new way to think about generativity and the role of affordances in organizing.","2022-01","2023-10-03 13:36:52","2023-10-03 13:36:52","2023-10-03 13:36:52","194-211","","1","33","","Organization Science","From Lock-In to Transformation","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/rainerkrug/Zotero TfC Ch 2/storage/RRY4RELT/Pentland et al_2022_From Lock-In to Transformation.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SB64MYUB","journalArticle","2022","Pascual, Unai; McElwee, Pamela D; Diamond, Sarah E; Ngo, Hien T; Bai, Xuemei; Cheung, William W L; Lim, Michelle; Steiner, Nadja; Agard, John; Donatti, Camila I; Duarte, Carlos M; Leemans, Rik; Managi, Shunsuke; Pires, Aliny P F; Reyes-García, Victoria; Trisos, Christopher; Scholes, Robert J; Pörtner, Hans-Otto","Governing for Transformative Change across the Biodiversity–Climate–Society Nexus","BioScience","","0006-3568, 1525-3244","10.1093/biosci/biac031","https://academic.oup.com/bioscience/article/72/7/684/6593160","Abstract             Transformative governance is key to addressing the global environmental crisis. We explore how transformative governance of complex biodiversity–climate–society interactions can be achieved, drawing on the first joint report between the Intergovernmental Panel on Climate Change and the Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services to reflect on the current opportunities, barriers, and challenges for transformative governance. We identify principles for transformative governance under a biodiversity–climate–society nexus frame using four case studies: forest ecosystems, marine ecosystems, urban environments, and the Arctic. The principles are focused on creating conditions to build multifunctional interventions, integration, and innovation across scales; coalitions of support; equitable approaches; and positive social tipping dynamics. We posit that building on such transformative governance principles is not only possible but essential to effectively keep climate change within the desired 1.5 degrees Celsius global mean temperature increase, halt the ongoing accelerated decline of global biodiversity, and promote human well-being.","2022-06-28","2023-10-03 13:37:20","2023-10-03 13:37:20","2023-10-03 13:37:20","684-704","","7","72","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/rainerkrug/Zotero TfC Ch 2/storage/PLWUV6FM/Pascual et al_2022_Governing for Transformative Change across the Biodiversity–Climate–Society.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4MK4KL4R","journalArticle","2020","Nightingale, Andrea Joslyn; Eriksen, Siri; Taylor, Marcus; Forsyth, Timothy; Pelling, Mark; Newsham, Andrew; Boyd, Emily; Brown, Katrina; Harvey, Blane; Jones, Lindsey; Bezner Kerr, Rachel; Mehta, Lyla; Naess, Lars Otto; Ockwell, David; Scoones, Ian; Tanner, Thomas; Whitfield, Stephen","Beyond Technical Fixes: climate solutions and the great derangement","Climate and Development","","1756-5529, 1756-5537","10.1080/17565529.2019.1624495","https://www.tandfonline.com/doi/full/10.1080/17565529.2019.1624495","","2020-04-20","2023-10-03 13:37:47","2023-10-03 13:37:47","2023-10-03 13:37:47","343-352","","4","12","","Climate and Development","Beyond Technical Fixes","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/rainerkrug/Zotero TfC Ch 2/storage/8IH2VW2U/Nightingale et al_2020_Beyond Technical Fixes.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UNKLIYTH","journalArticle","2016","Mallett, Alexandra","Trade and Industrial Policy as Levers for Sustainable Energy Technology Adoption? Experiences from Urban <span style=""font-variant:small-caps;"">L</span> atin <span style=""font-variant:small-caps;"">A</span> merica","Review of Policy Research","","1541-132X, 1541-1338","10.1111/ropr.12183","https://onlinelibrary.wiley.com/doi/10.1111/ropr.12183","Abstract             Debates abound regarding the link between trade and industrial policy and the adoption of sustainable energy technologies in developing countries. Some purport that open trade regimes support technology diffusion, while others indicate that more interventionist regimes are more conducive. This paper uses empirical evidence from Mexico City and São Paulo to argue that sustainable energy technology uptake can be more prevalent in settings with partially open trade policy regimes. These regimes have afforded countries more opportunities to develop local capabilities, which, in turn, has had knock‐on effects on sustainable energy technology uptake. Specifically, having more local technology sources (equipment, expertise) brought quicker access to these technologies, created more perceptions of technology “ownership,” fostered more effective mobilization, and helped create well‐established standards, which in turn contributed positively to sustainable energy technology uptake, while taxes and tariffs were less influential.","2016-07","2023-10-03 13:37:58","2023-10-03 13:37:58","2023-10-03 13:37:58","348-375","","4","33","","Review of Policy Research","Trade and Industrial Policy as Levers for Sustainable Energy Technology Adoption?","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/rainerkrug/Zotero TfC Ch 2/storage/BZB4QXJY/Mallett_2016_Trade and Industrial Policy as Levers for Sustainable Energy Technology Adoption.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
