"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"7K6S6CB5","journalArticle","2022","Rusch, Graciela M.; Bartlett, Jesamine; Kyrkjeeide, Magni Olsen; Lein, Ulrika; Nordén, Jenni; Sandvik, Hanno; Stokland, Håkon","A joint climate and nature cure: A transformative change perspective","Ambio","","0044-7447, 1654-7209","10.1007/s13280-021-01679-8","https://link.springer.com/10.1007/s13280-021-01679-8","Climate change has considerably dominated science-policy dialogue, public debate, and subsequently environmental policies since the three ‘‘Rio Conventions’’ were born. This has led to practically independent courses of action of climate change mitigation and biodiversity conservation actions, neglecting potential conﬂicts among outcomes and with missed opportunities for synergistic measures. Transformative governance principles have been proposed to overcome these limitations. Using a transformative governance lens, we use the case of the Norwegian ‘‘Climate Cure 2030’’ for the Land Use, LandUse Change and Forestry (LULUCF) sector to, ﬁrst, illustrate the mechanisms that have led to the choice of climate mitigation measures; second, to analyze the potential consequences of these measures on biodiversity and greenhouse gas (GHG) emissions; and, third, to evaluate alternative measures with potential positive outcomes for biodiversity and GHG emissions/removals. We point to some mechanisms that could support the implementation of these positive actions.","2022-06","2023-09-13 14:32:22","2023-09-13 14:32:22","2023-09-13 14:32:22","1459-1473","","6","51","","Ambio","A joint climate and nature cure","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/rainerkrug/Zotero TfC Ch 2/storage/2UFTNYW7/Rusch et al. - 2022 - A joint climate and nature cure A transformative .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACTMH8UV","journalArticle","2019","Wallbott, Linda; Siciliano, Giuseppina; Lederer, Markus","Beyond PES and REDD+: Costa Rica on the way to climate-smart landscape management?","Ecology and Society","","1708-3087","10.5751/ES-10476-240124","https://www.ecologyandsociety.org/vol24/iss1/art24/","Costa Rica has a strong international reputation for conservation and sustainable management of forests, including through its national payments for environmental services (PES) system and reducing emissions from deforestation and forest degradation (REDD+). However, to be able to take those achievements to the next level, new approaches need to be developed that integrate agriculture and environmental politics, e.g., to foster climate-smart landscape management. This would be in line with the idea of a green transformation as a necessary contribution to bring human social-ecological action back within planetary boundaries. We start from a general conceptualization of a green transformation and its potential drivers, then analyze the basis and prospects for such developments by providing a review of the country’s forest politics, including a mapping of relevant stakeholders that have been influential in designing and implementing the national PES and REDD+ approaches. Based on original empirical analysis that was conducted throughout 2017, we further analyze recent institutional developments of setting up a cross-sectoral policy for agriculture and environment as part of a broader landscape management approach, including the opportunities and challenges that might arise with a view to realizing this idea on the ground.","2019","2023-09-13 14:32:25","2023-09-13 14:32:25","2023-09-13 14:32:25","art24","","1","24","","E&S","Beyond PES and REDD+","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/rainerkrug/Zotero TfC Ch 2/storage/QRLJTIEZ/Wallbott et al. - 2019 - Beyond PES and REDD+ Costa Rica on the way to cli.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DT8VS3EN","journalArticle","2023","Buckton, Sam J.; Fazey, Ioan; Sharpe, Bill; Om, Eugyen Suzanne; Doherty, Bob; Ball, Peter; Denby, Katherine; Bryant, Maria; Lait, Rebecca; Bridle, Sarah; Cain, Michelle; Carmen, Esther; Collins, Lisa; Nixon, Nicola; Yap, Christopher; Connolly, Annie; Fletcher, Ben; Frankowska, Angelina; Gardner, Grace; James, Anthonia; Kendrick, Ian; Kluczkovski, Alana; Mair, Simon; Morris, Belinda; Sinclair, Maddie","The Regenerative Lens: A conceptual framework for regenerative social-ecological systems","One Earth","","25903322","10.1016/j.oneear.2023.06.006","https://linkinghub.elsevier.com/retrieve/pii/S2590332223003020","Societies must transform their dynamics to support the ﬂourishing of life. There is increasing interest in regeneration and regenerative practice as a solution, but also limited cohered understanding of what constitutes regenerative systems at social-ecological scales. In this perspective we present a conceptual, cross-disciplinary, and action-oriented regenerative systems framework, the Regenerative Lens, informed by a wide literature review. The framework emphasizes that regenerative systems maintain positive reinforcing cycles of wellbeing within and beyond themselves, especially between humans and wider nature, such that ‘‘life begets life.’’ We identify ﬁve key qualities needed in systems to encourage such dynamics: an ecological worldview embodied in human action; mutualism; high diversity; agency for humans and non-humans to act regeneratively; and continuous reﬂexivity. We apply the Lens to an envisioned future food system to illustrate its utility as a reﬂexive tool and for stretching ambition. We hope that the conceptual clarity provided here will aid the necessary acceleration of learning and action toward regenerative systems.","2023-07","2023-09-13 14:32:27","2023-09-13 14:32:27","2023-09-13 14:32:27","824-842","","7","6","","One Earth","The Regenerative Lens","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/rainerkrug/Zotero TfC Ch 2/storage/FYMY2RAI/Buckton et al. - 2023 - The Regenerative Lens A conceptual framework for .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XN93W5NJ","journalArticle","","Weichselgartner, Juergen; Kelman, Ilan","Challenges and opportunities for building urban resilience","","","","","","In science, the resilience concept has increasingly been embraced as a framework for disasterrelated work. As a result, policy supports ‘resilient communities’ programs. The current transition from a ‘descriptive’ scientific concept explaining the state of a system to a ‘normative’ agenda applied by local authorities faces various challenges. To contribute to the A|Z journal’s special issue on Cities at Risk, this paper argues that it is crucial to address and explain these challenges in order to effectively increase resilience. It examines some theoretical foundations and underlying assumptions of the resilience concept and highlights some challenges associated with practical application in urban locations. Most importantly, the chronic needs and root causes of vulnerability will remain unsolved and will continue to generate vulnerable groups as long as efforts to increase resilience ignore the preconditions and root causes of (what is effectively social and political) vulnerability. Building resilience in cities provides opportunities to address under-studied elements, to gain understanding about the historical and socio-political processes that create and maintain social vulnerabilities, and to develop designs capable of identifying options for intervention and leverage points that can move communities toward less vulnerable development pathways.","","2023-09-13 14:32:29","2023-09-25 13:35:03","","","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/rainerkrug/Zotero TfC Ch 2/storage/FPQ87PNN/Weichselgartner and Kelman - Challenges and opportunities for building urban re.pdf","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANMNUAW4","journalArticle","2021","Charonis, George-Konstantinos","DEGROWTH, STEADY STATE AND CIRCULAR ECONOMIES: ALTERNATIVE DISCOURSES TO ECONOMIC GROWTH","Society Register","","2544-5502","10.14746/sr.2021.5.3.05","https://pressto.amu.edu.pl/index.php/sr/article/view/28707","Criticisms of the neoclassical economic framework and perpetual growth in GDP terms are not a new phenomenon, although recent years have seen increasing interest in alternative and ecological discourses including degrowth, steady state and circular economics. Although these may initially appear as distinctly different discourses, they are highly compatible and comparable, sharing similar, often nearly identical principles and policy proposals. A more collaborative, joined-up approach aimed at integrating alternative discourses is required in order to build a coherent, credible, well-supported alternative, as there is more uniting than dividing these critical voices, particularly in the face of mainstream political and economic debates that are shaped by neoclassical economics.","2021-10-21","2023-09-13 14:32:31","2023-09-13 14:32:31","2023-09-13 14:32:31","75-94","","3","5","","SR","DEGROWTH, STEADY STATE AND CIRCULAR ECONOMIES","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/rainerkrug/Zotero TfC Ch 2/storage/5YR5IZR4/Charonis - 2021 - DEGROWTH, STEADY STATE AND CIRCULAR ECONOMIES ALT.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W4U6B9MW","journalArticle","2019","Coscieme, Luca; Sutton, Paul; Mortensen, Lars F.; Kubiszewski, Ida; Costanza, Robert; Trebeck, Katherine; Pulselli, Federico M.; Giannetti, Biagio F.; Fioramonti, Lorenzo","Overcoming the Myths of Mainstream Economics to Enable a New Wellbeing Economy","Sustainability","","2071-1050","10.3390/su11164374","https://www.mdpi.com/2071-1050/11/16/4374","Increasingly, empirical evidence refutes many of the theoretical pillars of mainstream economics. These theories have persisted despite the fact that they support unsustainable and undesirable environmental, social, and economic outcomes. Continuing to embrace them puts at risk the possibility of achieving the Sustainable Development Goals and overcoming other global challenges. We discuss a selection of paradoxes and delusions surrounding mainstream economic theories related to: (1) efficiency and resource use, (2) wealth and wellbeing, (3) economic growth, and (4) the distribution of wealth within and between rich and poor nations. We describe a wellbeing economy as an alternative for guiding policy development. In 2018, a network of Wellbeing Economy Governments (WEGo), (supported by, but distinct from, the larger Wellbeing Economy Alliance—WEAll) promoting new forms of governance that diverge from the ones on which the G7 and G20 are based, has been launched and is now a living project. Members of WEGo aim at advancing the three key principles of a wellbeing economy: Live within planetary ecological boundaries, ensure equitable distribution of wealth and opportunity, and efficiently allocate resources (including environmental and social public goods), bringing wellbeing to the heart of policymaking, and in particular economic policymaking. This network has potential to fundamentally re-shape current global leadership still anchored to old economic paradigms that give primacy to economic growth over environmental and social wealth and wellbeing.","2019-08-13","2023-09-13 14:32:33","2023-09-13 14:32:33","2023-09-13 14:32:33","4374","","16","11","","Sustainability","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/rainerkrug/Zotero TfC Ch 2/storage/F4EWXRU7/Coscieme et al. - 2019 - Overcoming the Myths of Mainstream Economics to En.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YML44WZ7","journalArticle","2021","Crist, Eileen; Kopnina, Helen; Cafaro, Philip; Gray, Joe; Ripple, William J.; Safina, Carl; Davis, John; DellaSala, Dominick A.; Noss, Reed F.; Washington, Haydn; Rolston, Holmes; Taylor, Bron; Orlikowska, Ewa H.; Heister, Anja; Lynn, William S.; Piccolo, John J.","Protecting Half the Planet and Transforming Human Systems Are Complementary Goals","Frontiers in Conservation Science","","2673-611X","10.3389/fcosc.2021.761292","https://www.frontiersin.org/articles/10.3389/fcosc.2021.761292/full","The unfolding crises of mass extinction and climate change call for urgent action in response. To limit biodiversity losses and avert the worst effects of climate disruption, we must greatly expand nature protection while simultaneously downsizing and transforming human systems. The conservation initiative Nature Needs Half (or Half Earth), calling for the conservation of half the Earth’s land and seas, is commensurate with the enormous challenges we face. Critics have objected to this initiative as harboring hardship for people near protected areas and for failing to confront the growth economy as the main engine of global ecological destruction. In response to the ﬁrst criticism, we afﬁrm that conservation policies must be designed and implemented in collaboration with Indigenous and local communities. In response to the second criticism, we argue that protecting half the Earth needs to be complemented by downscaling and reforming economic life, humanely and gradually reducing the global population, and changing food production and consumption. By protecting nature generously, and simultaneously contracting and transforming the human enterprise, we can create the conditions for achieving justice and well-being for both people and other species. If we fail to do so, we instead accept a chaotic and impoverished world that will be dangerous for us all.","2021-11-18","2023-09-13 14:32:36","2023-09-13 14:32:36","2023-09-13 14:32:36","761292","","","2","","Front. Conserv. Sci.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/rainerkrug/Zotero TfC Ch 2/storage/TVFHRU88/Crist et al. - 2021 - Protecting Half the Planet and Transforming Human .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A9GHQAZE","book","2021","Dasgupta, Partha","Economics of Biodiversity: The Dasgupta Review : Headline Messages","","978-1-911680-31-4","","","","","2021","2023-09-13 14:32:41","2023-09-25 13:36:46","","","","","","","","Economics of Biodiversity","","","","","HM Treasury","United Kingdom","en","","","","","Open WorldCat","","OCLC: 1238591430","","/Users/rainerkrug/Zotero TfC Ch 2/storage/TIEZRUSX/Dasgupta - 2021 - Economics of Biodiversity The Dasgupta Review  H.pdf","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I2DH4DWI","journalArticle","2019","Dinerstein, E.; Vynne, C.; Sala, E.; Joshi, A. R.; Fernando, S.; Lovejoy, T. E.; Mayorga, J.; Olson, D.; Asner, G. P.; Baillie, J. E. M.; Burgess, N. D.; Burkart, K.; Noss, R. F.; Zhang, Y. P.; Baccini, A.; Birch, T.; Hahn, N.; Joppa, L. N.; Wikramanayake, E.","A Global Deal For Nature: Guiding principles, milestones, and targets","Science Advances","","2375-2548","10.1126/sciadv.aaw2869","https://www.science.org/doi/10.1126/sciadv.aaw2869","The Global Deal for Nature sets an ambitious agenda to protect our biosphere through ecosystem conservation and land restoration.           ,              The Global Deal for Nature (GDN) is a time-bound, science-driven plan to save the diversity and abundance of life on Earth. Pairing the GDN and the Paris Climate Agreement would avoid catastrophic climate change, conserve species, and secure essential ecosystem services. New findings give urgency to this union: Less than half of the terrestrial realm is intact, yet conserving all native ecosystems—coupled with energy transition measures—will be required to remain below a 1.5°C rise in average global temperature. The GDN targets 30% of Earth to be formally protected and an additional 20% designated as climate stabilization areas, by 2030, to stay below 1.5°C. We highlight the 67% of terrestrial ecoregions that can meet 30% protection, thereby reducing extinction threats and carbon emissions from natural reservoirs. Freshwater and marine targets included here extend the GDN to all realms and provide a pathway to ensuring a more livable biosphere.","2019-04-05","2023-09-13 14:32:44","2023-09-13 14:32:44","2023-09-13 14:32:44","eaaw2869","","4","5","","Sci. Adv.","A Global Deal For Nature","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/rainerkrug/Zotero TfC Ch 2/storage/ZQMQW9SX/Dinerstein et al. - 2019 - A Global Deal For Nature Guiding principles, mile.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TWQZN92A","journalArticle","2021","Folke, Carl; Polasky, Stephen; Rockström, Johan; Galaz, Victor; Westley, Frances; Lamont, Michèle; Scheffer, Marten; Österblom, Henrik; Carpenter, Stephen R.; Chapin, F. Stuart; Seto, Karen C.; Weber, Elke U.; Crona, Beatrice I.; Daily, Gretchen C.; Dasgupta, Partha; Gaffney, Owen; Gordon, Line J.; Hoff, Holger; Levin, Simon A.; Lubchenco, Jane; Steffen, Will; Walker, Brian H.","Our future in the Anthropocene biosphere","Ambio","","0044-7447, 1654-7209","10.1007/s13280-021-01544-8","http://link.springer.com/10.1007/s13280-021-01544-8","The COVID-19 pandemic has exposed an interconnected and tightly coupled globalized world in rapid change. This article sets the scientiﬁc stage for understanding and responding to such change for global sustainability and resilient societies. We provide a systemic overview of the current situation where people and nature are dynamically intertwined and embedded in the biosphere, placing shocks and extreme events as part of this dynamic; humanity has become the major force in shaping the future of the Earth system as a whole; and the scale and pace of the human dimension have caused climate change, rapid loss of biodiversity, growing inequalities, and loss of resilience to deal with uncertainty and surprise. Taken together, human actions are challenging the biosphere foundation for a prosperous development of civilizations. The Anthropocene reality—of rising system-wide turbulence—calls for transformative change towards sustainable futures. Emerging technologies, social innovations, broader shifts in cultural repertoires, as well as a diverse portfolio of active stewardship of human actions in support of a resilient biosphere are highlighted as essential parts of such transformations.","2021-04","2023-09-13 14:32:47","2023-09-13 14:32:47","2023-09-13 14:32:47","834-869","","4","50","","Ambio","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/rainerkrug/Zotero TfC Ch 2/storage/XY787FPW/Folke et al. - 2021 - Our future in the Anthropocene biosphere.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
